movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
angelhasfallen,1.1379473,1.5181013,0.5204745,0.67916334,0.0,0.36499012,0.0,0.77581835,1.2401628,1.1157657,1.0699526,0.8745014,1.3005245,0.98492545,0.83836913,1.014032,0.8483187,0.7809886,1.4065169,1.2315586
angrybirdsmovie,2.696935,4.4484935,1.8763447,1.0404319,0.0,1.3342117,0.0,2.7084546,3.8842802,2.7377226,1.8650513,2.451156,2.983758,1.7525829,2.532314,2.7582555,2.6670053,1.4048764,3.1498902,2.887429
annabellemovie,1.8515213,2.2655683,0.9426499,0.9294167,0.017145395,0.92425555,0.0,1.4680723,1.5776511,1.6274239,1.1393135,1.1666179,1.3315501,1.3301985,1.2253989,1.359509,1.1424246,0.8372695,1.3423023,1.2411828
annamovie,1.0356418,1.3254069,0.36473677,0.61908805,0.0,0.4786244,0.0,1.1467146,0.96969694,1.1215886,0.7968304,0.93330723,0.74875295,0.8816302,1.0231141,1.039402,0.95754796,0.8593786,1.0795286,0.91954106
apollo11movie,0.68064004,1.0047966,0.4086271,0.41668516,0.0,0.25984395,0.0,0.59992653,0.86421466,0.7467489,0.5038306,0.69874424,0.59290653,0.630639,0.52827734,0.5723762,0.6154656,0.39064315,0.7701742,0.7407493
arcticdogsmovie,1.0794795,1.2493392,0.7522918,0.7335765,0.0,0.30917156,0.0,0.63798845,1.0765368,0.7755317,0.7328616,0.66261655,0.8643899,0.7087671,0.79875827,0.9029315,0.798055,0.65823805,0.810231,0.86162436
arcticmovie,0.73672205,0.9572136,0.45767117,0.5424761,0.0,0.35776913,0.0,0.7204427,0.8006054,0.72792035,0.60199964,0.7650471,0.8752493,0.49005735,0.43446726,0.7734015,0.6179315,0.67368066,0.8713904,0.96202546
artofracingmovie,1.2494564,1.5812291,0.87207514,0.6792136,0.0,0.5250885,0.0,1.0116311,1.3210585,1.1336895,0.7466624,0.88278615,1.1224301,0.67047876,0.90937036,0.88620424,0.8941972,0.6511632,1.1801958,1.0414664
avengers,0.8926883,1.133213,0.6430032,0.58367914,0.0,0.58612627,0.0,0.54002,1.1854966,0.78615946,0.73638755,0.6490561,0.87631905,0.74683625,0.8402188,0.91677,0.753889,0.57991433,1.1943481,0.94919014
beachbummovie,1.1035665,1.0903602,0.67518544,0.71444666,0.0,0.45221347,0.0,0.876756,1.1935422,1.0575773,0.5743631,0.78861874,1.1174076,0.6958596,0.6781465,0.7338529,0.853008,0.80151546,1.219163,1.0344275
bernadettefilm,0.95305884,1.4773815,0.49287692,0.8662316,0.0,0.3987168,0.0,0.896887,1.1473805,1.0107071,0.6391021,0.7042838,0.9607184,1.1236529,1.0380933,0.95230645,0.9448688,0.8044285,1.2182417,1.0369701
blackandbluemovie,2.7170093,2.757855,1.4415494,1.5659423,0.0,1.1619769,0.0,1.6561053,2.352246,1.7921934,1.3615074,1.6504999,2.5698068,1.3005121,1.6734304,1.7723007,1.5147736,1.4894522,2.4942799,2.1693525
blackchristmas,1.0918856,1.3895801,0.5401694,0.721121,0.0,0.43740886,0.0,1.0483401,1.077411,0.91510195,0.66736317,0.9051428,0.7192391,0.888193,0.78150076,0.98574245,1.088676,0.66119736,0.72311085,0.9907162
blindedbythelightmovie,0.77445877,0.87905014,0.29145342,0.57126516,0.031310726,0.2970099,0.0,0.62485236,0.6664169,0.64945173,0.58090514,0.61340815,0.5963344,0.56792414,0.58870906,0.6925843,0.54857963,0.7211215,0.8686168,0.73878026
bombshellmovie,1.5961531,1.8313634,1.0815806,1.0491542,0.1820828,0.70802325,0.0,1.244434,1.5012777,1.589675,1.1347916,1.0425528,1.0797105,1.459007,1.4483359,1.3082249,1.1807475,1.0555183,1.4759251,1.3359199
