movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
gretafilm,0.88521975,0.75481886,1.342241,1.0958807,0.74756587,0.72055036,0.63248706,0.5544501,1.406381,1.5995315,1.2550942,0.6906485,1.1210638,0.908808,1.294771,0.67697597,0.0,0.8627808,1.1145728,0.857469,0.84877115,0.5252303,1.252437,0.98741233,0.80218005
halathemovie,1.0077198,0.7427019,1.5930825,1.4497756,0.7333343,0.7795713,1.274239,0.74154687,1.6405274,1.9483243,1.6387436,1.3164129,1.5275573,1.1360523,2.3712654,0.770294,0.0,1.1864663,1.5043392,1.1408019,0.82529795,1.5035939,2.359596,2.0785317,0.7208454
happydeathdaymovie,0.4538218,0.137851,0.62196696,0.71985865,0.27846617,0.3697735,0.39385167,0.325282,0.527017,0.6172478,0.55580306,0.38776666,0.5038592,0.37288362,0.50154066,0.29555693,0.0,0.3103455,0.44442177,0.47571334,0.47674888,0.47403133,0.7676239,0.71136975,0.32904074
harrietfilm,0.9135616,0.3608716,1.4013551,1.1546956,0.77512103,0.6208199,0.743926,0.61717284,1.1216142,1.3806027,1.008628,0.8462684,1.0344441,0.84155166,1.2349107,0.62757057,0.0,1.047381,0.5529495,0.9133882,0.82191414,0.48919606,1.4467281,0.9319928,0.43128502
hellboymovie,0.9081685,0.37486613,0.7815954,0.84767675,0.41382977,0.46375498,0.7897585,0.2430093,0.7267414,0.7810931,0.65219426,0.7488881,0.87662476,0.6839684,1.1165506,0.42706662,0.0,0.67022574,0.8090092,0.5407032,0.562993,0.5842043,1.1392087,0.91348445,0.5744843
hersmellmovie,1.3870019,1.2030827,3.0062165,1.8094321,0.70673776,1.4039072,0.7628894,0.4611304,2.7790618,1.6145936,2.074315,1.2050202,2.5707524,1.4615599,1.5668857,0.7940629,0.0,1.3232201,1.2422967,1.1747389,1.4513428,1.0863496,3.2000592,2.0146556,1.245808
highlifemovie,0.47791594,0.39948034,0.6114672,0.7500743,0.5026322,0.565133,0.6776452,0.48748282,0.5466967,0.9507686,0.71727085,0.5889675,0.520062,0.44390234,0.9192492,0.44411057,0.0,0.52759427,0.70588183,0.5560675,0.43122613,0.49533713,0.90561277,0.69122005,0.4547682
highstrungmovie,6.268384,2.6094434,9.94223,7.8839426,3.667026,6.0314636,3.6595266,1.7008348,12.118052,10.829601,8.490224,6.1192465,8.216482,10.121688,10.962415,4.206142,0.0,7.326852,5.2332807,9.005917,6.299271,5.2811656,14.032246,8.134746,3.473554
honeyboymovie,1.269423,0.5943237,2.8847427,2.1935253,0.7156051,2.2691336,0.79478234,0.68636435,3.0214121,1.4114236,1.1793307,1.953008,2.5706592,1.5715674,1.450265,0.9007304,0.0,2.0528533,1.1343002,1.3741037,1.8118503,1.0395591,3.1098619,2.58211,0.6928574
hotelmumbaifilm,0.5707045,0.42910117,0.7677533,0.70054877,0.41413772,0.5032349,0.46189854,0.42861062,0.62823284,0.8538636,0.7771998,0.55184996,0.68750066,0.8425053,1.0653795,0.26300326,0.0,0.7019553,0.5461896,0.51523626,0.6382436,0.6206856,0.94615453,0.8578467,0.3246215
