movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
thehummingbirdprojectfilm,1.0308301,0.7656362,0.44273353,0.8882385,0.84530056,0.75962543,0.79476905,0.276451,0.50993276,0.0,0.47285208,0.7190931,0.0,0.66149867,0.8277629
theintrudermovie,1.8191663,1.3142893,0.5152564,1.2935591,1.2229842,1.3505653,0.98046,0.0,1.5471913,0.0,0.7877945,1.3429748,0.09038712,0.0,1.588822
theirishmanfilm,1.0733972,1.0268933,1.0168461,0.96088946,1.331745,0.7258661,1.2071332,0.37287682,0.50532305,0.0,0.4728035,1.4489361,0.0,0.25506607,0.5684566
thekitchenmovie,1.8966068,0.6111291,0.0,1.2671555,1.2012448,0.5360659,0.91216403,0.0057926476,0.6448026,0.0,0.87287605,1.6100305,0.24543594,0.083267964,1.0508621
thelegomovie,1.8619922,0.96071583,0.2056396,1.2954314,1.4761224,0.7964016,1.0798495,0.23726451,0.35120648,0.0,0.6173118,1.3238606,0.0,0.7669345,0.5351195
themustangfilm,1.3884335,0.9752281,0.47447854,0.9772657,0.8729215,1.0977921,0.9132628,0.43141103,0.79711443,0.0,0.7049067,1.1103705,0.059006583,0.6263268,1.2079722
thenightingalefilm,1.7269781,1.0530679,0.42067176,1.1281961,0.88625467,0.833014,1.0423396,1.2472254,0.6094613,0.0,1.0027264,1.4461166,0.0,0.7125603,1.0851227
theprodigymovie,1.8977789,1.1011533,0.0,1.1616062,2.2304466,0.20411374,0.0,0.22744352,0.22378,0.0,0.3118763,1.1152339,0.7203837,0.39362442,1.3441199
thesunisalsoastar,1.9290617,0.9383931,0.3148274,1.6051431,1.6019646,1.1928899,1.3490884,0.14975543,0.63405114,0.0,0.8211931,1.6144537,0.0,0.49918026,1.0508834
theupsidefilm,1.5890758,1.3136603,0.47243965,0.90257245,1.2715414,0.5592245,0.79920036,0.2999224,1.0561452,0.0,1.2731519,1.2032336,0.18486367,0.10847258,1.5674073
tolkienmovie,2.05264,1.5774916,0.5065056,1.4425269,1.7030813,1.1789765,1.243299,0.44323194,1.1729178,0.0,0.75678384,1.6458325,0.0,0.4222064,1.7608438
toystory,2.1646497,1.1458848,0.55686396,1.5341289,1.765932,1.1292533,1.3150896,0.0,0.9887552,0.0,0.48923478,1.4843643,0.15015535,0.8636842,1.4960604
triplefrontier,1.5445591,1.3110434,0.7248303,1.2730294,1.3746616,1.2514977,1.3207203,0.41086513,0.637986,0.0,1.1908473,1.4045533,0.0,0.57962346,1.1241044
uglydolls,0.5665917,0.30649948,0.21609914,0.40715814,0.3477619,0.19981602,0.3796126,0.33190072,0.4823481,0.0,0.45272937,0.4890752,0.0,0.12349526,0.5093602
uncutgems,1.5924269,0.86829966,0.44623226,1.3491651,1.3951714,0.8495096,1.4761543,0.0036743283,0.7057334,0.0,0.9543811,1.6111695,0.0,0.2159201,1.1160183
