movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
angelhasfallen,0.54683626,0.733611,0.54261786,0.0,0.42827767,0.58383316,0.80620044,1.0094076,0.89513165,0.15501525,0.73748606,0.23706964,0.0,0.62624407,0.8321677,0.3151399,0.3643988,0.0,0.46439633,0.5679735,0.53159106,0.0,0.7535807,0.55973023,0.71950716,0.71759105,0.70386124,0.6682977,0.54911774,0.33300307,0.30091923,0.8569687,0.5406198,0.7069783,0.5815458,0.9829637,0.57154775,0.77111,1.0415503,0.44281274
angrybirdsmovie,0.844436,1.1959583,0.6924952,0.0,1.1975752,0.4602031,1.639754,0.9609,1.035628,0.38784105,1.1382295,0.29553062,0.0,1.0516824,2.0141323,0.57124907,1.0913607,0.0,0.8381168,0.812921,0.1106475,0.0,1.3803167,0.45276794,1.447978,1.2211385,1.4924059,0.6828848,0.81668705,0.7669734,0.2797497,1.2599745,1.053086,1.5134842,0.7519938,1.3737451,1.0197443,1.1105887,0.9521422,0.7655834
annabellemovie,0.75783384,0.84132445,1.1949258,0.0,0.46314517,0.67792344,1.0611813,1.4218365,1.1722703,0.030691769,0.72758955,0.3735629,0.0,0.5068069,0.8697475,0.5979494,0.6129633,0.0,0.87493503,0.66033393,0.43207565,0.0,1.0959703,0.98011357,0.8393825,1.1131899,0.97764045,0.44566464,1.1869822,0.94490844,0.41355923,0.96395135,0.2940859,1.1740313,0.9877664,1.1094635,0.9853622,0.82751644,1.5850177,0.5461581
annamovie,0.5111897,0.6409007,0.56906027,0.0,0.34785008,0.21753755,0.9933135,0.8921534,0.7358404,0.35641623,0.6329815,0.28374887,0.0,0.43697205,0.7248494,0.59360623,0.47758734,0.0,0.41668996,0.24789587,0.22341323,0.0,0.8001818,0.49810943,0.55150515,0.7286005,0.68219656,0.60248697,0.640536,0.17481416,0.420979,0.67854077,0.5292353,0.830364,0.49520633,0.51840186,0.66541725,0.8851246,0.93956697,0.3522656
apollo11movie,0.35571334,0.2945013,0.47224647,0.0,0.19749069,0.27143002,0.4638651,0.42966065,0.58987933,0.20052451,0.54590875,0.23105395,0.0,0.30363697,0.5430202,0.30495006,0.17295918,0.0,0.28300172,0.19692932,0.37902993,0.0,0.41838855,0.31120884,0.3926863,0.38471258,0.52413607,0.4035075,0.30505127,0.21743497,0.26767814,0.5660285,0.37695253,0.42754507,0.13177374,0.51373035,0.4769222,0.4646761,0.38632733,0.26520762
arcticdogsmovie,0.49600813,0.4369865,0.4172964,0.0,0.26382312,0.355225,0.7597275,0.5253196,0.41878676,0.30205745,0.48321712,0.20827839,0.0,0.4082739,0.60916036,0.46404743,0.39152864,0.0,0.19804005,0.40722626,0.3551696,0.0,0.38354528,0.3258223,0.41611838,0.52534854,0.6449054,0.4365024,0.5229221,0.19903365,0.14693505,0.58978623,0.33603743,0.4935219,0.25456786,0.4626536,0.7511879,0.5470214,0.471842,0.23985168
arcticmovie,0.438632,0.29972506,0.3788745,0.0,0.20557824,0.2029786,0.36096427,0.45604953,0.34287778,0.14825249,0.44370556,0.2520257,0.0,0.14728008,0.37544325,0.37286147,0.28119186,0.0,0.36312786,0.2779191,0.2301878,0.0,0.4145149,0.37746787,0.32246673,0.2582656,0.49441183,0.2599377,0.37560862,0.1955986,0.072961405,0.35132718,0.25446054,0.38322446,0.4903811,0.43544903,0.44457132,0.48205036,0.48355457,0.21162751
artofracingmovie,0.53007555,0.8580274,0.34885544,0.0,0.52050596,0.01395924,0.9116297,0.9248272,0.83391166,0.21800649,0.46726364,0.25261799,0.0,0.44028726,0.80868095,0.46897662,0.39659572,0.0,0.5703673,0.44124487,0.538378,0.0,0.8549053,0.6111806,0.62400234,0.66260535,0.8982611,0.46204108,0.865805,0.19355372,0.4844199,0.82215214,0.50111556,0.73328793,0.58876944,0.44984925,0.67078483,0.884191,0.9439824,0.2905568
avengers,0.48356482,0.27218235,0.4531696,0.0,0.24434686,0.21387783,0.6385266,0.625801,0.6131033,0.2990701,0.56253225,0.19436473,0.0,0.2331561,0.34473926,0.41979948,0.23763554,0.0,0.34349078,0.33929706,0.19080374,0.0,0.39295477,0.29571903,0.28477523,0.3972565,0.35375804,0.2931808,0.46582833,0.20600837,0.15017033,0.5082231,0.2614249,0.45948228,0.3056835,0.57531303,0.46696508,0.5508919,0.5328567,0.17954248
beachbummovie,0.49817738,0.3312047,0.70794725,0.0,0.24170995,0.25791252,0.72067493,0.7671494,0.60293865,0.10016757,0.7210893,0.2642574,0.0,0.32945698,0.7532256,0.355791,0.38614613,0.0,0.2707317,0.2679378,0.3771606,0.032420762,0.37886834,0.34850264,0.41586155,0.5049626,0.6919381,0.80604535,0.48145705,0.2965102,0.5044294,0.6049355,0.47623152,0.6887765,0.41531652,0.83583504,0.55061054,0.6437235,0.9752515,0.52900803
