,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
7346664138,0,1,0,0,1,0,0,2,0,0,0,11,0,6,0,1,0,5,0,0
7350014203,8,7,1,1,6,0,0,3,0,1,0,6,1,2,0,0,0,3,0,0
7363316495,5,4,0,3,1,0,0,5,0,3,0,2,0,0,0,2,0,2,1,0
7364216280,8,6,2,0,4,1,0,3,0,2,0,1,0,0,0,4,0,1,0,0
7368849606,5,4,1,0,3,2,0,5,0,1,0,9,0,5,0,1,0,5,0,0
7369815300,3,6,4,0,6,1,0,4,0,2,0,1,0,0,1,1,0,0,0,0
7370970172,5,5,1,0,3,1,0,3,0,1,1,2,0,2,0,3,0,3,0,0
7374166525,7,3,0,1,9,5,0,6,0,1,0,7,0,4,0,4,0,5,0,0
7375572729,4,4,1,0,7,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0
7380215402,10,9,0,1,4,3,0,5,1,3,0,3,0,0,0,5,0,3,0,0
7391303480,7,5,2,2,3,2,0,3,0,0,0,0,1,0,1,2,0,2,1,0
7392902819,9,9,2,1,6,0,0,4,1,3,0,3,0,1,0,3,0,2,0,0
7393284436,3,3,3,0,5,0,0,2,1,0,0,5,0,4,0,1,0,3,0,0
7393730477,2,2,0,2,7,0,0,5,0,0,0,7,0,4,1,1,0,4,0,0
7394742122,3,2,0,0,2,0,0,2,0,1,0,9,0,5,0,2,0,5,0,0
7395798012,13,20,7,3,14,2,0,13,4,6,0,9,1,6,1,5,2,8,0,0
7396482697,12,10,0,1,3,2,0,2,0,3,0,3,0,0,0,4,0,2,0,0
7396725805,9,10,3,2,12,3,0,12,0,2,1,10,0,7,1,5,0,6,0,0
7420948879,4,6,2,0,6,2,0,5,0,2,0,3,0,1,0,1,0,1,0,0
7426328878,10,8,0,0,1,1,0,1,0,2,0,0,0,0,0,4,0,2,0,0
7434989237,3,4,0,1,3,0,0,6,0,1,0,2,0,0,0,2,0,0,1,0
7442141235,7,3,0,2,5,3,0,8,0,2,0,0,1,1,1,1,0,3,0,0
7449690657,8,4,0,2,5,2,0,8,0,0,1,2,0,1,0,2,0,0,0,0
7456033955,6,5,0,1,4,3,0,5,2,3,0,1,0,0,1,2,0,1,0,0
7461114948,1,1,1,0,4,0,0,1,1,1,0,8,0,3,1,1,0,4,0,0
7465350641,6,12,1,4,7,1,0,11,3,2,1,3,0,4,1,2,0,3,1,0
7466029414,20,18,3,1,9,2,0,5,2,3,0,9,0,3,0,7,0,8,0,0
7468052410,3,2,0,0,4,1,0,1,0,1,0,5,0,3,0,3,0,3,0,0
7482264204,7,6,2,0,5,4,0,5,1,0,0,4,0,1,0,5,0,3,1,0
7499105214,8,6,2,1,6,4,0,5,0,0,0,4,0,2,0,3,0,2,0,0
7500711611,1,1,0,0,3,0,0,2,0,3,0,10,0,7,1,0,0,6,0,0
7504998252,7,6,3,0,5,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0
7505497748,0,0,0,1,5,0,0,6,0,2,0,4,1,4,2,0,0,2,0,0
