uid,sid
160,101
160,86
160,114
160,84
160,47
160,21
160,117
160,67
160,104
160,49
160,58
160,78
160,79
160,64
162,43
162,60
162,96
162,46
162,114
162,47
162,48
162,76
162,49
162,97
164,90
164,0
164,10
164,155
164,65
164,110
164,113
164,14
164,54
164,72
164,47
164,122
164,20
164,134
164,30
164,107
164,64
165,80
165,10
165,81
165,99
165,41
165,82
165,24
165,91
165,150
165,87
165,92
165,142
165,32
165,51
165,105
165,11
165,1
165,2
165,93
165,124
165,69
165,12
165,35
165,25
165,144
165,94
165,148
165,102
165,109
165,5
165,95
165,60
165,74
165,115
165,53
165,14
165,147
165,15
165,45
165,71
165,16
165,26
165,96
165,17
165,54
165,75
165,55
165,6
165,46
165,72
165,114
165,84
165,130
165,27
165,56
165,7
165,47
165,153
165,133
165,28
165,57
165,48
165,8
165,20
165,116
165,119
165,67
165,104
165,9
165,49
165,58
165,38
165,50
165,29
165,22
165,118
165,97
165,112
165,141
165,30
165,79
165,123
165,98
165,40
165,23
165,64
166,51
166,158
166,53
166,75
166,46
166,114
166,7
166,67
166,108
166,123
167,81
167,41
167,32
167,68
167,69
167,94
167,113
167,44
167,100
167,45
167,125
167,96
167,86
167,114
167,56
167,47
167,48
167,77
167,58
167,79
167,98
167,107
168,80
168,24
168,25
168,4
168,103
168,44
168,45
168,83
168,89
168,122
168,63
168,143
168,29
168,22
168,40
168,64
170,52
170,147
170,126
170,54
170,36
170,57
170,21
170,9
170,112
170,40
171,24
171,91
171,102
171,113
171,103
171,60
171,96
171,47
171,116
171,104
171,50
172,24
172,106
172,11
172,68
172,35
172,138
172,155
172,102
172,60
172,88
172,61
172,16
172,96
172,126
172,72
172,62
172,21
172,22
172,159
173,0
173,81
173,128
173,13
173,100
173,147
173,125
173,71
173,18
173,86
173,36
173,37
173,58
174,41
174,91
174,102
174,109
174,60
174,15
174,45
174,54
174,130
174,116
174,40
175,41
175,82
175,1
175,94
175,95
175,53
175,26
175,48
175,116
175,77
175,97
177,41
177,11
177,65
177,113
177,103
177,44
177,63
177,21
177,79
177,40
177,64
179,43
179,102
179,6
179,46
179,72
179,47
179,122
179,104
179,50
179,79
180,24
180,92
180,32
180,68
180,93
180,60
180,147
180,96
180,46
180,48
180,76
181,90
181,31
181,24
181,92
181,68
181,94
181,109
181,113
181,95
181,60
181,15
181,83
181,96
181,89
181,47
181,28
181,48
181,77
181,9
181,29
181,141
181,98
182,10
182,41
182,69
182,52
182,103
182,45
182,63
182,21
182,30
182,40
183,41
183,24
183,11
183,12
183,65
183,102
183,103
183,61
183,45
183,126
183,62
183,21
183,104
183,40
184,31
184,102
184,45
184,17
184,62
184,63
184,21
184,104
184,77
184,79
184,40
185,69
185,70
185,45
185,16
185,26
185,6
185,62
185,119
185,79
185,40
187,0
187,32
187,1
187,52
187,18
187,6
187,130
187,56
187,58
187,107
188,69
188,65
188,113
188,60
188,44
188,70
188,89
188,20
188,62
188,63
188,22
188,141
188,79
188,23
190,90
190,81
190,25
190,65
190,113
190,103
190,44
190,96
190,89
190,47
190,20
190,40
192,0
192,51
192,129
192,95
192,53
192,125
192,83
192,55
192,63
192,108
193,41
193,11
193,12
193,35
193,138
193,65
193,131
193,113
193,126
193,66
193,63
193,21
193,159
195,0
195,24
195,92
195,25
195,102
195,113
195,103
195,60
195,44
195,96
195,47
195,76
195,21
195,97
195,79
196,51
196,13
196,109
196,15
196,125
196,6
196,56
196,62
196,49
196,78
196,23
197,80
197,0
197,10
197,91
197,105
197,43
197,110
197,113
197,44
197,46
197,72
197,89
197,48
197,76
197,116
197,134
197,40
199,128
199,32
199,124
199,138
199,129
199,95
199,53
199,71
199,26
199,83
199,75
199,36
199,72
199,89
200,82
200,106
200,60
200,45
200,83
200,72
200,134
200,22
200,23
200,64
201,127
201,42
201,32
201,51
201,148
201,129
201,125
201,26
201,101
201,6
201,27
201,120
201,49
202,132
202,113
202,95
202,17
202,111
202,46
202,114
202,48
202,20
202,143
202,121
202,141
202,108
202,79
203,25
203,44
203,111
203,114
203,37
203,66
203,117
203,22
203,159
203,64
204,93
204,95
204,96
204,36
204,84
204,7
204,47
204,57
204,119
204,50
204,97
205,87
205,105
205,149
205,74
205,26
205,145
205,116
205,9
205,50
205,123
205,98
207,0
207,71
207,16
207,17
207,72
207,89
207,84
207,20
207,30
207,79
208,99
208,41
208,91
208,11
208,103
208,44
208,45
208,16
208,47
208,120
208,40
210,80
210,41
210,82
210,87
210,43
210,93
210,102
210,110
210,103
210,60
210,44
210,161
210,53
210,45
210,16
210,47
210,48
210,20
210,63
210,104
210,50
210,97
210,39
210,79
210,40
211,146
211,41
211,127
211,42
211,128
211,1
211,100
211,53
211,70
211,111
211,116
211,77
211,58
211,97
211,108
212,80
212,81
212,41
212,82
212,91
212,43
212,11
212,1
212,2
212,124
212,4
212,110
212,113
212,103
212,158
212,5
212,44
212,53
212,45
212,16
212,83
212,111
212,36
212,89
212,84
212,27
212,37
212,122
212,8
212,120
212,62
212,21
212,119
212,104
212,143
212,29
212,78
212,159
212,39
212,40
212,64
214,0
214,99
214,24
214,105
214,68
214,93
214,12
214,65
214,16
214,83
214,96
214,72
214,89
214,66
214,20
214,63
214,21
214,29
214,78
214,40
216,0
216,24
216,51
216,11
216,60
216,53
216,147
216,125
216,75
216,36
216,89
216,58
216,141
216,108
216,79
216,64
217,51
217,113
217,60
217,44
217,70
217,63
217,21
217,79
217,40
217,64
218,80
218,41
218,82
218,91
218,106
218,87
218,92
218,32
218,43
218,33
218,2
218,25
218,52
218,102
218,110
218,5
218,53
218,147
218,45
218,26
218,83
218,6
218,19
218,27
218,153
218,122
218,20
218,116
218,63
218,134
218,119
218,117
218,104
218,160
218,38
218,143
218,29
218,39
218,108
218,98
218,40
218,136
218,64
219,80
219,128
219,51
219,33
219,25
219,109
219,14
219,114
219,48
219,58
219,79
221,31
221,24
221,12
221,25
221,65
221,113
221,44
221,16
221,83
221,96
221,46
221,47
221,48
221,79
221,40
221,64
225,80
225,31
225,32
225,33
225,2
225,124
225,53
225,125
225,36
225,7
225,133
225,48
225,119
225,118
225,141
225,23
226,0
226,142
226,124
226,25
226,4
226,44
226,111
226,84
226,7
226,77
226,78
226,64
227,69
227,113
227,103
227,88
227,45
227,16
227,72
227,20
227,21
227,22
229,90
229,32
229,109
229,147
229,15
229,26
229,46
229,29
229,97
229,141
229,79
230,32
230,105
230,60
230,125
230,17
230,46
230,84
230,130
230,119
230,49
230,141
231,0
231,51
231,33
231,129
231,74
231,53
231,125
231,83
231,18
231,111
231,7
231,58
231,38
231,118
231,108
232,0
232,81
232,99
232,41
232,127
232,42
232,65
232,109
232,4
232,113
232,71
232,26
232,6
232,86
232,27
232,7
232,47
232,57
232,116
232,63
232,21
232,119
232,39
232,108
232,151
233,80
233,106
233,11
233,73
233,69
233,65
233,110
233,103
233,21
233,22
233,107
233,40
234,154
234,43
234,2
234,35
234,4
234,45
234,36
