movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
coldpursuitmovie,0.59527814,0.0,0.66665167,0.47890747,0.2628135,0.4845282,0.66026884,0.8149643,0.30895373,0.0,0.3101917,0.63421214,0.4561559,0.7378916,0.6501304,0.34785858,0.48868763,0.47882232,0.46463814,0.59333485,0.28781146,0.0,0.4748472,0.58604413,0.31690225,0.0,0.5081749,0.5385793,0.4498496,0.5008324,0.34022486,0.5864618,0.7327336,0.35670984,0.7461084,0.0,0.37217426,0.3993477,0.39378387,0.5269359,0.6729012,0.77824265,0.48949674,0.0,0.20336182
countdown,1.3465434,0.0,1.299167,1.1429726,0.8367604,1.1177899,1.6647466,1.1982774,0.6706345,0.0,0.9714264,1.3529409,0.7625029,1.5648562,1.2349504,0.7161449,0.62148315,0.5245428,0.8764291,1.5250664,1.1940126,0.0,0.70763016,1.2097105,0.8982994,0.0,0.88393974,1.4788725,0.9750413,0.8417241,0.9726631,1.3879021,1.6371206,0.7450952,1.4441648,0.0,0.60619193,1.165717,0.6307779,1.3135768,1.3551068,1.9183507,0.7413891,0.0,0.68521684
currentwarmovie,0.8948845,0.0,0.9540761,0.6977768,0.38677523,0.7579211,1.3181568,0.9637438,0.27785528,0.0,0.6638151,0.9195109,0.5377733,0.9537037,0.8144224,0.5001406,0.69860804,0.13956045,0.31111896,0.8992243,0.7277331,0.0,0.5100674,0.64646846,0.51253295,0.0,0.6581208,0.82421565,0.7236837,0.5873549,0.81051457,0.8227206,0.83161825,0.6341465,0.9536356,0.0,0.69759643,0.6296157,0.4730416,0.9589149,0.9514938,0.93091476,0.5636724,0.0,0.29808685
darkwatersmovie,1.602358,0.0,1.1849238,1.0709516,0.4522971,0.9324119,1.7117455,1.5113313,0.78715205,0.0,0.6891243,1.3915386,1.0287359,1.6460022,1.1490011,0.8628498,0.81255037,0.87004644,0.9527105,1.3222398,0.94411254,0.0,0.73761505,1.1633581,0.697146,0.0,1.2039739,1.0970105,0.9657392,1.1585478,1.3743385,1.0555766,1.6857762,0.6787841,1.3850486,0.0,0.61659193,0.55617845,0.79000115,1.0703001,1.6250551,1.7405782,0.84143144,0.0,0.8177992
detectivepikachumovie,0.8792639,0.0,1.0495067,0.91131294,0.64198405,0.6127971,1.295107,0.7229501,0.4410822,0.0,0.9888498,0.9035255,0.6650478,1.1454781,0.895344,0.6441796,1.0439178,0.23974594,0.59792495,1.1655626,0.8496884,0.0,0.71017325,0.9246583,0.53301585,0.0,0.7471585,1.3188355,1.0327758,0.44031444,1.0105324,1.2096995,1.3251505,1.0631917,1.123637,0.0,0.4963755,0.80834395,0.5987427,1.0801591,0.9933125,1.1521392,0.8394656,0.0,0.26552024
disneyaladdin,1.4967777,0.0,1.3229562,0.86392117,0.6832392,0.791573,1.788669,1.2449814,0.7364908,0.0,0.7409529,1.0864846,0.85067177,1.5047932,1.3165071,0.82363814,0.985515,0.7098718,0.611718,1.2872237,0.8987771,0.0,0.7030839,0.83067846,0.5929691,0.0,0.94875526,1.3322194,1.2007804,0.7775445,1.0654551,1.5158238,1.5072054,0.7728724,1.4210706,0.0,0.41618723,0.3830628,0.5720207,1.1512237,1.317614,1.5944762,0.72977966,0.0,0.46777073
disneyfrozen,2.3207219,0.0,2.2576933,1.4764587,0.7928277,1.4674538,3.084044,2.1687033,0.97765225,0.0,0.8079902,1.4897667,1.1814693,1.8803715,2.0314898,1.0847726,1.7527056,1.0913247,1.2650979,2.1505318,1.2431607,0.0,1.1129627,1.4007218,0.7834412,0.0,1.3099002,2.46975,2.0925913,1.0279735,1.6087947,2.2476754,2.812099,1.159118,2.1280978,0.0,1.2282751,1.0525241,0.5334018,1.9878896,2.408746,2.644245,0.9017926,0.0,1.1261249
disneymaleficent,1.5669048,0.0,1.040278,0.8079771,0.45817652,0.7385207,1.6470382,1.0161986,0.59734875,0.0,0.6804557,0.79924124,0.78308135,1.2742361,0.95000875,0.75894225,0.7438542,0.6696725,0.6352293,1.0178187,0.79892576,0.0,0.53905106,0.98859894,0.4855294,0.0,0.7732744,1.1436561,0.92442405,0.58292055,0.9385234,1.0879914,1.2771965,0.49202177,1.0899932,0.0,0.595978,0.5061548,0.4202212,1.113665,1.1097891,1.2754985,0.4162561,0.0,0.5270195
doctorsleepmovie,1.0033184,0.0,0.77171296,0.7215452,0.41554424,0.66190016,1.1318396,0.9046997,0.46343517,0.139963,0.4854335,0.9498444,0.49490595,1.2002705,0.97358406,0.46538255,0.5353176,0.56807613,0.42274556,0.8313824,0.57907057,0.0,0.49622965,0.62554556,0.356291,0.0,0.4895774,0.7425274,0.5919719,0.56334144,0.66090316,0.68461514,0.96995014,0.49438274,0.9558522,0.0,0.30691162,0.5156987,0.44767553,0.91336197,0.7713407,0.87413234,0.50829375,0.0,0.27977386
dolemiteismyname,1.6119118,0.0,1.3809454,1.3042668,0.43769193,1.4253638,1.5718282,1.4001868,1.0354007,0.0,0.84790117,1.7247977,0.9633287,1.8556663,1.3408498,1.0570533,0.9489141,0.8568076,0.7871917,1.4951626,1.2328176,0.0,0.8770625,1.6298057,0.94343305,0.0,1.3916053,1.5848495,1.1625361,0.85499257,1.1707902,1.5571307,1.7471285,0.36658612,1.5817991,0.0,1.1425395,1.2723167,1.2767707,1.6119477,1.3288116,1.7807457,1.0128851,0.0,0.7165743
dontletgomovie,1.0682173,0.0,1.0836234,0.6674268,0.43684566,0.69646317,1.3885672,0.95369637,0.48855016,0.0,0.46902865,1.0602695,0.70604795,1.1646562,0.9010987,0.63050604,0.78809184,0.268878,0.48803315,0.9320854,0.66107213,0.0,0.5559667,1.0345337,0.52159894,0.0,0.61825323,1.0938025,0.9004815,0.56682587,0.83010364,0.910777,1.188389,0.60513145,0.98609173,0.0,0.3654067,0.6671607,0.4524728,0.7287556,0.6914479,1.3930944,0.72335184,0.0,0.3417068
doramovie,0.80429393,0.0,0.871557,0.70059675,0.19846818,0.51629114,1.0624156,1.1088626,0.32594725,0.0,0.5923333,0.81470954,0.38604507,0.7502952,0.931444,0.39417785,0.46346638,0.6050253,0.3911608,0.8985631,0.5393002,0.0,0.5859452,0.59170383,0.31148311,0.0,0.8725277,0.8459757,0.7612376,0.49078366,0.6259341,0.8821118,1.2227905,0.39183974,0.8389856,0.0,0.5310308,0.46579555,0.22105262,0.54817647,0.8428008,0.97488874,0.45915857,0.0,0.2676823
downtonabbey_official,1.9530284,0.0,1.3935407,1.3515961,0.51448125,0.96807986,1.9817165,1.564468,0.3824237,0.0,0.7306228,1.400154,1.408337,1.6982161,0.9092919,1.0029963,0.86657596,0.8758741,0.92575854,1.2619642,1.1257191,0.0,0.6369904,1.1763073,0.69133794,0.0,1.2359241,1.1270269,1.1940669,1.1327769,0.94284177,1.226909,1.6573526,1.0390389,1.5569917,0.0,1.0400734,0.9663969,0.47697318,1.5882144,1.3474083,2.2213433,0.6687763,0.0,0.6435148
