movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
childsplaymovie,1.710789,0.0,2.7297685,1.1215405,2.9007542,3.1914127,0.0,1.6472902,2.5107903,3.188884,1.8500897,3.1295269,3.5079997,1.0460774,2.3819773,1.5905625,0.0,1.1742855,1.1137531,0.84111077,2.130594,1.6050794,1.7052691,2.1140966,2.5354278,2.3086922,0.0,2.6215866,1.784797,2.474059
clarathefilm,1.9589572,0.0,2.982504,2.4526508,3.7757018,3.785286,0.0,1.3615474,4.1519613,2.4875088,2.4066596,3.3074186,4.0837593,0.917585,2.5104709,1.033392,0.0,2.9329154,2.7507803,0.5694022,2.3669398,1.9116032,2.9924119,3.3313017,3.369108,2.2618833,0.0,3.071548,1.491143,2.5646865
coldpursuitmovie,0.48609424,0.0,0.78631735,0.73088455,0.6357953,0.7560917,0.0,0.44198143,0.7033994,0.6889539,0.48907036,0.53349954,0.68276954,0.5486474,0.5302721,0.55533993,0.0,0.60817546,0.56223595,0.37801853,0.4535101,0.43520337,0.6111643,0.53647953,0.41511714,0.4763467,0.0,0.4475477,0.53735846,0.5110493
countdown,0.6686295,0.06953665,1.1665,0.8087778,1.0886413,1.9237303,0.0,0.73804706,1.6518875,1.1181841,1.0046803,0.8478891,1.4441807,0.9277748,1.4699337,1.1567532,0.0,0.7534852,0.9371582,0.64426863,1.0264443,0.90069747,0.90569824,0.68538606,0.9446957,0.6034794,0.0,0.953457,0.8118735,1.4403266
currentwarmovie,0.48132837,0.0,0.7172481,0.5401259,0.6354539,0.98564553,0.0,0.636346,0.6006328,0.9849265,0.7119512,0.811851,1.1751888,0.42558703,0.90933895,0.63883585,0.0,0.6965259,0.7458417,0.4930599,0.7675358,0.9206109,0.52773607,0.7290126,0.60705155,0.5859309,0.0,0.8997618,0.604439,0.9469153
darkwatersmovie,0.72249067,0.0,1.1687126,0.9811038,1.3869975,1.4126145,0.0,0.652566,1.5707824,1.1204028,0.4300566,1.306636,1.2225504,0.7202151,0.8044164,0.94289976,0.0,0.7153816,0.8245713,0.47131357,0.57553446,0.7205421,1.0150697,0.98329043,1.4191694,0.7932413,0.0,0.73357224,0.9502595,0.9404997
detectivepikachumovie,0.9791239,0.0,1.0488049,0.79622644,1.1145711,1.0254747,0.0,0.74042064,1.0335938,0.93048435,0.6083644,0.46899056,1.2890533,0.5346578,1.2127603,0.618104,0.0,1.0417762,0.96606565,0.634774,0.60801476,0.60468775,0.9925069,0.64896345,0.8675297,0.6857899,0.0,0.889911,0.54805696,1.228802
disneyaladdin,0.78942883,0.0,1.2211063,0.7677625,0.9783624,0.9504421,0.0,0.73020643,0.98160774,1.1302227,0.42867598,1.1023843,1.0898685,0.6835532,0.6001469,0.7320709,0.0,0.48602265,0.93197185,0.7919883,0.8598271,0.5301025,0.8655603,1.096855,0.8188601,0.76731163,0.0,0.5759758,0.70012003,0.62085354
disneyfrozen,1.2365537,0.0,2.3636067,1.7474111,1.5518895,1.8193686,0.0,0.7248864,2.1872442,1.6728423,1.0379246,1.3223959,1.7121129,1.6484556,1.2357543,1.5964916,0.0,0.9262176,1.8356007,0.9092704,1.2544715,0.84527886,1.534261,1.6061829,0.6904993,1.3807931,0.0,1.2438501,1.4967014,1.3839061
disneymaleficent,0.5860567,0.0,1.0036874,0.7044941,0.81326044,0.8627522,0.0,0.59416264,1.0750903,0.7716103,0.46757224,1.0187137,1.012859,0.72650003,0.72759426,0.78423494,0.0,0.39228177,0.7434813,0.7256019,0.68549705,0.5232674,0.82159454,0.69440925,0.7289149,0.6225381,0.0,0.6191214,0.7131157,0.81646234
doctorsleepmovie,0.5234041,0.0,0.8139133,0.5543886,0.78037214,0.881762,0.0,0.52067655,0.92733437,0.7512693,0.5604603,0.65371263,0.848112,0.6154419,0.62902725,0.5950449,0.0,0.7193856,0.6572158,0.3983257,0.3101213,0.64322215,0.73736584,0.46673676,0.7194471,0.58520705,0.0,0.7129449,0.6307814,0.6820992
