movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
jojorabbitmovie,0.8343648,1.7539122,1.2079372,0.5860976,0.0,0.7712501,0.5455752,0.5703248,0.7285328,0.8023309,0.79252523,1.0036196,0.0,0.7381757,0.6037601,0.9622819,0.53640264,1.1173509,0.6538924,0.65783995,0.0,0.0,0.91992116,0.0,0.72475916,0.50747323,0.5329446,0.87520736,0.27012953,0.6482389
jokermovie,0.611752,1.1243558,0.77634937,0.5248278,0.0,0.8096474,0.62531084,0.56401885,0.31113157,0.7047487,0.8790582,0.80309284,0.0,0.49398512,0.35475963,0.50353044,0.4812912,0.91281366,0.4129988,0.2155518,0.0,0.15577371,0.7018398,0.0,0.7008243,0.5514478,0.6375871,0.59292,0.52529806,0.2556586
judythefilm,0.7769965,1.0057172,0.8731417,0.2789161,0.0,0.6509676,0.22132277,0.6556252,0.48283067,0.4630634,0.8552544,0.93157715,0.0,0.5368713,0.58569247,0.782552,0.5808738,1.1478754,0.6189821,0.46619067,0.0,0.11305808,0.5684043,0.0,0.67057043,0.35231736,0.24346292,0.39447758,0.42767662,0.0
jumanjimovie,1.3439169,2.200548,2.0654292,0.34030798,0.0,1.2967417,0.7304819,1.0763723,1.1329863,1.1078811,1.448454,1.99451,0.0,0.8743242,1.0455006,1.4480503,1.1602049,1.9862283,0.7154212,0.95973355,0.0,0.23244222,1.5372794,0.0,1.3375963,1.064551,1.0696176,0.93799615,1.1315229,0.621018
justmercyfilm,0.700857,1.0724603,0.48321748,0.17378095,0.0,0.4056384,0.37618485,0.39550158,0.4050502,0.41577753,0.69493765,0.89794326,0.0,0.37860823,0.40835208,0.61991304,0.39997512,0.67351615,0.32971853,0.31193793,0.0,0.0,0.5394306,0.0,0.5221117,0.37592992,0.4337531,0.53683966,0.44411963,0.25256094
knivesout,1.0544294,1.6551068,1.2910061,0.3806212,0.0,0.70778155,0.49421015,0.8890522,0.6848513,0.9560075,1.158662,1.1052928,0.0,0.3534858,0.6955845,1.0235776,0.6220517,1.3027549,0.55633724,0.47638068,0.0,0.08257849,0.6029367,0.0,0.6592031,0.3763738,0.4282018,1.040469,0.5189025,0.56168413
lalloronamovie,0.94679844,1.2585207,0.91276425,0.38586074,0.0,0.79436713,0.54028636,0.6844495,0.6022284,0.7223463,0.7842994,1.1005841,0.0,0.4289747,0.57375115,0.83540726,0.7101535,0.9024114,0.6133672,0.6199412,0.0,0.072625466,0.8867111,0.0,0.7120721,0.5330516,0.5557416,0.70315146,0.379852,0.33056092
lastblackmansf,1.3440095,1.9412733,1.5908926,0.4958351,0.0,1.3175964,0.7783026,0.78710634,0.872224,0.94754976,1.6398741,1.886776,0.0,1.1634247,0.7295334,1.3031651,0.52482796,1.5953697,0.8182678,0.7162648,0.0,0.0,1.1729121,0.0,1.430764,0.6950611,0.8835877,1.24442,0.6492401,0.63129354
lastchristmasthemovie,0.48061132,0.7702615,0.6178549,0.22951406,0.0,0.49647847,0.26814702,0.48121706,0.39911318,0.37667173,0.35796955,0.65169966,0.0,0.22718823,0.49166113,0.39053807,0.45023796,0.6582589,0.31447607,0.1806868,0.0,0.03856042,0.40586764,0.0,0.48164147,0.35354546,0.39285383,0.19373274,0.36405134,0.16533235
latenightmovie,1.0034902,1.8124571,1.4870613,0.529298,0.0,0.92523336,0.7381626,0.82824075,0.77328074,0.8998261,1.2409176,1.72043,0.0,0.7975464,0.62966216,0.99299866,0.89805007,1.4308953,0.71919525,0.36340576,0.0,0.3371309,1.2499423,0.0,0.6236595,0.8656498,0.79709625,0.75147146,0.94099844,0.51487356
