movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
thehummingbirdprojectfilm,0.0,0.15286285,0.3488393,0.34613842,0.47481632,0.5990683,0.5122148,0.47721884,0.7770266,0.5711201
theintrudermovie,0.0,0.45067793,1.1492448,1.1538802,1.6382496,2.0189524,1.6541169,1.4790331,3.0222254,2.0420163
theirishmanfilm,0.0,0.63428384,1.146094,1.3529538,1.9471159,2.119347,2.0121014,2.2086892,3.2323213,2.5603318
thekitchenmovie,0.0,0.5920355,1.1433861,1.680149,1.7194307,2.6523142,2.259683,2.0404248,3.593238,2.7735832
thelegomovie,0.0,0.38186523,1.0789294,1.4123667,1.2910562,1.769437,1.590179,1.3470867,2.1992834,1.664303
themustangfilm,0.0,0.15643622,0.6755375,0.53524375,0.6461046,0.82247007,0.78504694,0.75422037,1.2587037,0.87879556
thenightingalefilm,0.0,0.17948343,0.8115836,0.8177932,0.7800457,1.5470996,1.2702792,1.3096921,2.0407264,1.4163642
theprodigymovie,0.0,0.06637604,1.0654211,1.0852319,2.0104146,1.9186454,1.9873409,1.7844995,3.804041,2.387875
thesunisalsoastar,0.0,0.5008005,1.0370711,1.2725402,1.3413843,1.9759842,1.4686567,1.5330437,2.6670153,2.1019044
theupsidefilm,0.0,0.6470682,0.7960218,0.9357954,1.649291,2.1661348,1.6945623,0.920354,1.9803693,1.432415
tolkienmovie,0.0,0.3600869,0.87862194,0.99053466,1.2072601,1.50994,1.4152658,1.1699725,2.1719658,1.4683781
toystory,0.0,0.399167,1.0384504,0.6604803,1.2743802,1.6743358,1.4447846,1.3894297,2.162038,1.3747909
triplefrontier,0.0,0.17832273,0.73196375,0.8813676,1.2704839,1.42326,1.1629379,1.2267628,1.5897338,1.5623775
uglydolls,0.0,0.032231502,0.74309945,0.6255307,0.8167205,1.0904853,0.6681726,0.7948128,0.90787876,0.58761126
uncutgems,0.0,0.45458004,1.0712146,0.89176375,1.3858922,1.6823683,1.884799,1.5140686,1.981178,1.8512195
underthesilverlake,0.0,0.2716326,0.88228595,0.56007487,1.2089581,1.6189083,1.3458463,1.1727351,1.5142424,1.325437
usmovie,0.0,0.22200015,0.46737254,0.5938002,0.7702905,0.8753872,0.8416648,0.71856666,1.0525005,0.766903
wavesmovie,0.0,0.5192905,0.95211875,0.88533646,1.6339887,2.0140538,1.6893626,1.2357026,1.9687109,1.7638669
whatmenwant,0.0,0.5883856,1.136756,1.3221188,1.3232908,1.9791136,1.8374829,1.561627,2.4135408,1.8654852
wonderparkmovie,0.0,0.5292906,1.086283,0.99720687,1.3982193,1.85796,1.8274865,1.0903116,2.0845842,1.7822056
wrinklestheclown,0.0,0.15286285,0.3488393,0.34613842,0.47481632,0.5990683,0.5122148,0.47721884,0.7770266,0.5711201
xmenmovies,0.0,0.6359426,1.2326126,1.5431551,1.793476,2.6525128,1.8369188,1.8813044,3.054038,1.9638834
yardiefilm,0.0,0.26709226,0.5308295,0.48187625,0.67368776,0.9271661,0.7299807,0.796394,1.0921404,0.80325407
yesterdaymovie,0.0,0.2687502,0.7598363,0.73167926,1.0558596,1.2367986,1.174825,1.1390247,1.7749996,1.3095711
zombieland,0.0,0.5784458,1.2398218,1.4422444,1.8711271,2.5374324,1.871918,2.149565,3.2457294,2.4748573
