movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
bernadettefilm,0.81813866,0.37444723,0.98924214,0.25892815,1.242178,1.0086789,0.60335547,0.97496873,1.1171163,0.5894093,0.0,0.6183897,0.70009875,0.60315365,1.0386161,0.7299008,0.7607885,0.63982123,1.2380991,1.0599377
blackandbluemovie,1.0991453,0.39550716,1.4817204,0.65352726,1.4262325,1.8919543,1.1804383,1.2410219,1.9509665,0.85923225,0.0,0.9599706,1.435531,1.4247173,2.1065729,1.9673034,0.729976,1.8174422,2.025291,2.5105546
blackchristmas,0.4673414,0.32217336,0.7256234,0.13162704,1.0316736,0.93712765,0.93611217,0.79720855,1.0821152,0.50319433,0.0,0.5923768,0.7210634,0.6682907,1.0800419,1.2070862,0.5358927,0.8563861,1.1700839,1.1111746
blindedbythelightmovie,0.30294582,0.16372797,0.5850936,0.2904032,0.5306092,0.4819061,0.5623755,0.38920394,0.55462426,0.31201681,0.0,0.33240896,0.48229676,0.44916835,0.5870032,0.63561094,0.29805845,0.4859942,0.79355425,0.73722476
bombshellmovie,0.66984963,0.45676696,0.69210774,0.26334384,1.0252143,0.83251756,0.611046,0.55973315,0.72828764,0.59858245,0.0,0.50983745,0.67219794,0.54805046,0.6586427,0.82811815,0.4993145,0.68503547,1.037996,1.0890112
booksmart,0.029021185,0.0,0.3012843,0.0,0.69040686,0.115162596,0.15933044,0.0,0.118907705,0.0,0.7099219,0.0,0.41220573,0.5763544,0.05857398,1.1714599,0.0,0.23519833,0.7549317,0.71066666
breakthroughmovie,0.65690005,0.23998961,2.3907247,0.5077108,1.7173378,1.6208677,1.2219384,1.1865151,1.6868681,0.8999229,0.0,1.3039129,1.6994399,1.0936348,1.4312599,1.9514945,1.194184,1.6777849,2.0899794,2.447589
brianbanksmovie,0.7156575,0.28810698,1.1263306,0.4965888,1.1712325,0.69835454,1.1299531,1.0441829,1.0354456,0.7212041,0.0,0.71936417,0.8473823,1.0034419,1.3416533,1.1484085,0.3384546,1.1093366,1.3890451,1.4467614
brightburnmovie,0.5794779,0.37496257,0.85209626,0.39549866,0.8139725,1.22552,0.81686,0.8698597,1.055395,0.47398004,0.0,0.57754314,0.7683089,0.9243435,1.1006991,1.0358196,0.4732659,0.7617956,1.3460871,1.241338
brittanyrunsmov,0.29762337,0.39016557,0.46825254,0.16406628,0.5185169,0.58991736,0.49213454,0.52591914,0.52505153,0.24729556,0.0,0.33930245,0.4361543,0.57411367,0.48017266,0.56929773,0.2640179,0.609694,0.6479616,0.52454185
captainmarvelofficial,0.76669824,0.34612373,0.88767,0.23351155,0.7079945,0.72349215,0.60499024,0.6965282,0.67018425,0.5240379,0.0,0.5616369,0.5653093,0.60418314,0.8541865,0.9402595,0.26150674,0.6615048,1.0406479,0.76339984
captivestatemovie,0.57544243,0.42402035,0.8764455,0.38016397,1.2856672,1.1928588,1.1708946,0.89799595,1.1216344,0.62662727,0.0,0.7764673,1.0035919,0.96028364,1.0254755,1.1600864,0.5076597,0.99169356,1.5623429,1.2063469
catsmovie,1.1065389,0.5977043,0.93673533,0.3561731,1.4312657,1.258048,1.4265735,1.2773238,1.3612369,0.8745015,0.0,1.066524,0.75755024,0.97284514,1.5781666,1.7452494,0.4776255,1.3802727,1.1627058,1.1280742
charliesangels,1.0385844,0.34283775,1.393364,0.3888379,1.268076,1.9750298,0.96231073,1.6571988,1.8410195,0.72370774,0.0,1.4638286,1.2696338,1.0899146,2.0549068,1.2433246,1.0218272,1.634716,2.2287107,2.0099893
childsplaymovie,0.41380224,0.12560657,1.8782907,0.37933013,1.5521461,1.5446044,1.1505628,0.514856,0.9123284,0.6060384,0.0,0.44573012,1.1370829,1.0303239,1.411514,1.9896412,0.9774377,1.2210443,1.7622073,2.7954123
clarathefilm,0.2704555,0.0,1.8437908,0.14131838,0.9467307,0.9976261,0.4124458,0.30313608,0.5285375,0.30791968,0.0,0.0,1.1676091,0.46429458,0.9613376,1.7266167,0.09750526,1.0382243,1.5523363,1.9284039
