movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
lastchristmasthemovie,0.5563218,0.7466885,0.5217253,0.96034753,0.5144695,0.38346753,0.13950747,0.7077882,0.61032534,0.0,0.42875367,0.7209218,0.59240603,0.6604705,0.5439084,0.48861322,0.5803215,0.69108313,0.56231093,0.47394484
latenightmovie,0.802974,1.2183238,0.8233501,2.1246836,0.7833016,0.46153647,0.23310433,1.4596406,1.1879925,0.0,0.6058066,1.3061475,1.0489295,0.69894695,0.43062577,0.54893976,1.0896673,0.9817106,0.6991709,1.0128704
lighthousemovie,0.73294586,0.8940377,0.68612236,1.0370853,0.4610344,0.38007852,0.15748438,0.96907353,0.76677024,0.0,0.53948677,0.91125315,0.52541506,0.7086025,0.51205987,0.5584695,0.5739597,0.8700569,0.53683436,0.6711738
lionking,0.8070592,1.2736045,0.783614,1.6029804,0.7744569,0.7042815,0.06890494,1.8666404,1.3781444,0.05748139,0.6217396,1.5124581,0.9689514,1.3977684,1.3729123,0.8401874,1.3890065,1.8607595,1.0128293,0.846304
littlethemovie,1.2600204,1.1022608,0.86680543,1.8427068,1.058912,0.6628407,0.08604556,1.6874224,1.1668361,0.082913935,0.9213606,1.6019413,1.1733778,1.2162396,1.3174295,0.8161209,1.1169856,1.3665153,0.592022,1.0758132
littlewomenmovie,1.0166188,1.1357965,0.75152224,1.5083802,0.7945345,0.545974,0.3597023,1.2647973,0.8521133,0.06841268,0.642598,1.3105392,0.9181885,0.6611985,0.6114404,0.6094512,1.1504508,1.0307088,0.6220093,0.9575381
littlewoodsfilm,1.1999621,1.6415932,1.0501806,1.6734129,0.72775435,0.21217427,0.13994141,1.5211078,0.79832643,0.0,0.9828024,1.0611243,0.63010734,1.2721007,0.99941635,0.7895941,1.1187618,1.292658,0.7331527,0.9780021
longshotmovie,1.0048128,0.9769469,0.8001281,1.277609,0.6773913,0.51263404,0.18103652,1.1607652,0.95422244,0.12884623,0.75193095,0.95117605,1.0057691,0.7371818,0.7601795,0.7865247,0.9425706,1.0213948,0.90643406,1.0400546
lordsofchaosmovie,0.5992369,0.8591369,0.5043748,1.3261058,0.5593466,0.15171286,0.0,0.91795087,0.69210976,0.0,0.4652828,0.8131376,0.66851735,0.68001634,0.66901606,0.5058379,0.793008,0.7171472,0.6120398,0.6762399
lucyintheskyfilm,0.8334593,0.90436,0.96354306,1.8524457,0.79865915,0.09845948,0.12410408,1.1608585,1.0338497,0.0,0.5946215,1.211405,0.9755105,0.92615974,0.829299,0.9648022,0.7257293,0.8021693,0.50630426,0.980139
mamovie2019,0.9706682,1.3460667,1.0690569,1.7121865,0.67371684,0.4290929,0.06517983,1.2142724,1.1551472,0.0,1.0526676,1.546161,1.2794799,1.2375051,0.8595757,0.9591267,0.82302064,1.2294154,0.915499,1.1524233
marriagestory,0.67880917,1.1304551,0.730729,1.249539,0.81145185,0.54536587,0.034846235,1.1451077,0.68740165,0.19912134,0.44203627,0.9051482,0.9312797,0.68518037,0.6367039,0.71671265,0.89187163,0.94468653,0.8613575,0.9915289
meettheaddams,1.334293,2.1435947,0.80598813,1.9894665,1.1597568,1.0484687,0.44477466,1.806296,1.520632,0.084749356,1.1148167,1.4716263,1.3532908,1.1798319,1.3140229,0.89434856,1.095361,1.5035738,1.0746044,1.5568571
meninblack,1.1363151,1.6955214,0.75294375,1.6883358,0.9010833,0.062240846,0.2633456,1.508788,1.3155832,0.0,0.5530807,1.4210498,0.35892114,1.4185852,0.65371084,0.68988544,0.8022328,0.99695134,0.6000221,0.9786078
midsommarmovie,0.9792211,1.1631134,0.830267,1.326522,0.6458282,0.5391236,0.33890763,1.2975724,1.0717486,0.0,0.6104236,1.2779223,0.81241906,0.87625533,0.72479093,0.6680408,0.78702617,0.9450415,0.8537004,0.744436
midwaymovie,1.4252332,1.1209782,0.7940219,1.6325313,0.724143,0.3995083,0.20740508,1.4088889,1.0515312,0.2940748,0.86413115,1.6361055,0.9691839,1.2879727,0.980188,0.6674034,1.0863218,1.0847392,0.5639407,1.1274675
missbalamovie,1.2135458,1.3522325,1.0787882,1.8690591,0.80656177,0.2066539,0.32490665,1.5312666,1.2019895,0.0,0.9112356,1.3650124,1.1244727,1.2494339,0.8543555,0.66731733,1.1337234,1.0331073,0.7844291,1.0643648
missinglinkfilm,0.53504145,0.69926244,0.5416365,1.0072812,0.5619193,0.30822572,0.066640705,0.6281794,0.6068658,0.0,0.3221192,0.76760834,0.64253336,0.509858,0.5016306,0.50528246,0.5631341,0.72078335,0.5921993,0.6323942
motherlessbklyn,1.0227014,1.4379352,0.85086864,1.7935151,0.95822865,0.6740089,0.0,1.7764686,1.1890002,0.0,0.7781708,1.4369597,1.140134,0.8926839,0.96637225,1.0635898,1.0579416,1.2793176,0.95907795,1.2930033
