movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
captivestatemovie,1.2750199,0.9055372,0.6672567,0.7962525,0.8818577,0.5313805,1.308516,0.0,0.48193908,0.5959325,1.1594659,1.2907466,0.5984012,0.81675977,1.0877134,0.8333806,0.16764697,0.45137528,1.2261807,1.3567355,0.60736454,0.66963905,0.59014565,1.0166764,0.60828495,0.76377,0.39513204,0.72308934,0.45294937,0.5888444,0.95919615,0.24225116,0.8038861,0.88601786,0.064415894,0.4262466,0.078641504,0.66773933,0.81461793,0.4165863,0.041303586,0.6177779,0.27193028,1.4681985,0.64221466,0.113680035,0.6912636,0.0,1.1828055,0.51790816
catsmovie,1.3214883,0.8102994,0.82916135,0.41975224,0.100519896,0.43763223,0.9430866,0.0,0.6918826,0.35300666,1.1708044,1.1638831,0.12290101,0.6949218,0.58409715,0.82737064,0.17441103,0.031181235,0.9528761,1.1767042,0.33663175,0.5406545,0.7077401,0.8962443,0.58286136,1.0424409,0.59848756,0.4224528,0.5534436,0.73833483,0.7673442,0.49317724,0.7590849,0.564077,0.27958947,0.4373554,0.54861736,0.8167971,0.7442181,0.16358624,0.36460388,0.7276744,0.07309069,0.89454675,0.8574302,0.2995676,0.3794665,0.0,0.816529,0.4427695
charliesangels,1.132561,0.58918357,0.5862425,0.5051309,0.51077074,0.32119948,1.1906146,0.0,0.55813384,0.3152496,0.95936555,1.2615927,0.25314352,0.827186,0.6687149,0.76815695,0.0,0.0,0.89901555,1.0735583,0.409803,0.60964537,0.42663056,1.056749,0.18798977,0.6854466,0.31941834,0.8728048,0.35241246,0.37877047,0.7407016,0.17633249,0.62333524,0.8483135,0.5286112,0.10392293,0.30702364,0.7513756,0.9503113,0.13186893,0.0429672,0.4604767,0.42548877,1.3940555,0.9839987,0.5129216,0.7937229,0.0,0.8562342,0.7988651
childsplaymovie,1.3996981,0.26626787,0.9078633,0.71061605,0.71088356,0.22914872,0.8710584,0.0,0.26565439,0.10517049,0.8534682,0.62893665,0.6635032,1.3287001,1.2368428,0.57223266,0.13981937,0.0,1.1186548,1.1109492,0.045416676,0.17949834,0.63478994,0.4486886,0.48909903,0.6368607,0.90861535,0.5858887,0.29430315,0.62640774,0.44146907,0.3784022,0.36726654,0.735893,0.13454211,0.0,0.08898355,0.55510163,0.4942988,0.0,0.0,0.3651803,0.0,0.98722994,0.50515103,0.08000562,0.8909525,0.0,0.6928396,0.588583
clarathefilm,0.90694094,0.030813675,0.57434416,0.17482595,0.4813464,0.21298544,0.22257785,0.09914235,0.17050923,0.47851107,0.09727477,0.0,0.27716315,0.63268876,0.6458814,0.43483707,0.045414165,0.0,0.60971195,0.6265995,0.0,0.0,0.31427395,0.26815686,0.19466814,0.3625516,0.026819842,0.20351623,0.0,0.49319717,0.0,0.29056993,0.34248385,0.13308397,0.010810044,0.17033337,0.08267349,0.2383922,0.12464182,0.23743343,0.0,0.6464191,0.0,0.6573469,0.40270334,0.6085179,0.044731714,0.045712814,0.5060517,0.070852086
coldpursuitmovie,0.6378555,0.27102396,0.41936427,0.44617712,0.30424288,0.31505555,0.39793745,0.0,0.24021168,0.23987825,0.5783826,0.466933,0.20711483,0.42009762,0.4052472,0.50896376,0.090832606,0.02804545,0.63137347,0.5058559,0.24358986,0.35812145,0.42947084,0.31931776,0.3717646,0.4640802,0.36235282,0.423859,0.34065065,0.35735816,0.43066752,0.34550378,0.37567213,0.40873742,0.15983485,0.15927362,0.36764574,0.44951993,0.39619765,0.26727185,0.20766458,0.45700905,0.23082845,0.4713591,0.46753424,0.15316689,0.3747014,0.014469492,0.49316543,0.44534826
countdown,1.2166585,0.49034718,0.49279565,0.72520983,0.4656381,0.58435625,1.001581,0.0,0.24790923,0.4357254,0.9884155,1.1563069,0.5337302,0.8595044,0.37798348,0.8076443,0.30230016,0.3248122,1.2513444,0.78722733,0.4740171,0.59320825,0.6664487,0.7285489,0.7922223,0.9721769,1.0175223,0.90169644,0.41702992,0.66861016,0.84912694,0.3337758,0.7915033,0.6863702,0.17399535,0.35405892,0.30863035,0.6282541,1.0772738,0.26480106,0.6651094,0.7382728,0.43284965,1.1345154,0.848058,0.0,0.87773424,0.0,0.97876304,0.5652976
currentwarmovie,1.2049876,0.5644393,0.8428846,0.624787,0.4883248,0.26915357,0.7849998,0.0,0.59361476,0.5655968,0.75373596,1.0327827,0.48447096,1.0070404,0.53541684,0.8451026,0.2747702,0.061559442,0.8631327,0.86431307,0.6095595,0.5212478,0.5323605,0.45188797,0.5383105,0.7592468,0.47579598,0.6433228,0.62039524,0.6994181,0.93375516,0.4341522,0.5982727,0.82544273,0.0756309,0.29029155,0.31945282,0.7103505,0.7777345,0.4632322,0.36758605,0.73476624,0.19923395,0.7553893,0.5253931,0.2396647,0.7418598,0.0,0.7211493,0.26290414
darkwatersmovie,1.1956911,0.7053913,0.6442981,0.71806747,0.65955323,0.6207686,1.0118542,0.0,0.310823,0.61631554,1.1134276,1.1671786,0.68519133,0.8924558,0.86277175,0.87601244,0.09029717,0.31462425,1.2529947,1.3285841,0.5886477,0.73424906,0.83190393,0.65067786,0.22011349,0.87925065,0.5385999,0.6961029,0.40227115,0.7632686,0.9683727,0.46727931,0.85077274,0.7847576,0.15069473,0.26416755,0.23549849,0.65947115,0.95988715,0.6058063,0.15737797,0.57149804,0.13803932,1.2895279,0.87905943,0.35491237,0.54921263,0.13179398,0.99681276,0.6419413
detectivepikachumovie,0.86816955,0.48464152,0.71632725,0.5765403,0.43499064,0.36569798,0.7756974,0.0,0.47251093,0.46464026,0.97466034,0.922354,0.44704095,0.6502252,0.51729286,1.017808,0.31145006,0.39834937,0.9589988,0.5895357,0.36166462,0.41682875,0.653278,0.6347601,0.4508999,0.7889538,0.484699,0.542145,0.42199454,0.46200728,0.626925,0.26896775,0.662866,0.6083525,0.0,0.06886217,0.3983905,0.7831474,0.77717537,0.5100523,0.2658675,0.56672645,0.28546473,0.79421043,0.59248763,0.0,0.7701184,0.0,0.7028175,0.6280391
