,user,items,ratings
1062,93,80,1
1063,93,86,1
1064,93,96,1
1065,93,118,1
1066,93,127,1
1067,93,128,1
1068,93,134,1
1069,93,144,1
1070,93,161,1
1071,93,163,1
1072,93,164,1
1073,94,0,1
1074,94,11,1
1075,94,30,1
1076,94,38,1
1077,94,58,1
1078,94,78,1
1079,94,86,1
1080,94,102,1
1081,94,115,1
1082,94,126,1
1083,95,9,1
1084,95,28,1
1085,95,30,1
1086,95,34,1
1087,95,45,1
1088,95,58,1
1089,95,68,1
1090,95,79,1
1091,95,112,1
1092,95,125,1
1093,95,129,1
1094,95,134,1
1095,95,161,1
1096,96,12,1
1097,96,33,1
1098,96,40,1
1099,96,43,1
1100,96,57,1
1101,96,60,1
1102,96,68,1
1103,96,80,1
1104,96,87,1
1105,96,102,1
1106,96,126,1
1107,96,161,1
1108,97,0,1
1109,97,21,1
1110,97,27,1
1111,97,45,1
1112,97,57,1
1113,97,62,1
1114,97,63,1
1115,97,67,1
1116,97,110,1
1117,97,143,1
1118,98,0,1
1119,98,21,1
1120,98,27,1
1121,98,37,1
1122,98,45,1
1123,98,46,1
1124,98,57,1
1125,98,85,1
1126,98,102,1
1127,98,125,1
1128,99,2,1
1129,99,24,1
1130,99,44,1
1131,99,67,1
1132,99,81,1
1133,99,84,1
1134,99,85,1
1135,99,86,1
1136,99,120,1
1137,99,134,1
